qb,t5,gpt2,mistralprompt,phiprompt,phifinetune,context + qb,context + t5,context + gpt2,context + mistralprompt,context + phiprompt,context + phifinetune
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.87136,0.85532,0.0,1.0,0.9887,0.22726,0.8574,0.84827,0.0,0.0,0.98358
0.0,0.81508,0.70398,0.42219,0.0,0.97548,0.22559,0.74467,0.78129,0.84074,0.0,0.97668
0.0,0.77358,0.58275,0.39598,0.0,0.96032,0.22249,0.65117,0.71149,0.46689,0.0,0.967
0.0,0.70691,0.50277,0.36349,0.0,0.94122,0.21948,0.57748,0.64994,0.42796,0.0,0.95373
0.0,0.64458,0.45798,0.36309,0.0,0.92799,0.21712,0.52694,0.59044,0.4122,0.0,0.94184
0.0,0.5994,0.43365,0.34057,0.0,0.9069,0.21561,0.49581,0.54422,0.40433,0.0,0.93101
0.0,0.56188,0.4235,0.32941,0.0,0.89376,0.21476,0.47677,0.50434,0.3836,0.0,0.91895
0.0,0.53084,0.4187,0.31257,0.0,0.88098,0.21425,0.46662,0.47256,0.3663,0.0,0.90587
0.0,0.51206,0.41452,0.29791,0.0,0.86407,0.2132,0.46068,0.44727,0.35126,0.0,0.89369
0.0,0.49429,0.41267,0.28578,0.0,0.84992,0.21331,0.45642,0.42703,0.33429,0.0,0.88272
0.0,0.48289,0.41006,0.27219,0.0,0.83237,0.21311,0.45174,0.41309,0.31736,0.66667,0.86895
0.0,0.4751,0.40741,0.26053,0.88889,0.81747,0.21316,0.4481,0.40331,0.30441,0.37628,0.8562
0.32778,0.46575,0.40425,0.24967,0.83333,0.8001,0.21312,0.44475,0.39536,0.29408,0.6539,0.84396
0.32778,0.46047,0.39924,0.23915,0.87805,0.78653,0.21344,0.44128,0.38933,0.28471,0.78319,0.83182
0.18801,0.45543,0.39454,0.22914,0.91257,0.77531,0.21321,0.43787,0.38503,0.27262,0.82098,0.81639
0.62371,0.45074,0.39103,0.22031,0.91645,0.76252,0.21319,0.43433,0.38125,0.26276,0.83707,0.80292
0.30721,0.44625,0.38702,0.21271,0.92355,0.74915,0.21318,0.43055,0.37798,0.25205,0.8383,0.78822
0.29507,0.44065,0.3836,0.20524,0.91945,0.73372,0.21335,0.42729,0.37517,0.24248,0.83208,0.77441
0.25811,0.43732,0.38185,0.19814,0.91368,0.71883,0.21341,0.42366,0.37257,0.23364,0.82134,0.76172
0.22465,0.43502,0.37813,0.19231,0.8988,0.70532,0.21353,0.42062,0.36995,0.22458,0.79171,0.7492
0.23606,0.43057,0.37503,0.18655,0.87351,0.69383,0.21371,0.41801,0.36725,0.21684,0.78552,0.73718
0.24129,0.42717,0.37227,0.18102,0.86123,0.67922,0.21368,0.41502,0.36524,0.21055,0.76873,0.72493
0.32777,0.4253,0.36997,0.17664,0.84326,0.66532,0.21387,0.41268,0.36324,0.20399,0.76464,0.71284
0.29627,0.42327,0.36706,0.17235,0.83853,0.65258,0.21398,0.41046,0.3611,0.19879,0.72279,0.70063
0.30511,0.41941,0.36523,0.16795,0.8183,0.64016,0.21405,0.40851,0.35936,0.19319,0.69709,0.68649
0.31703,0.4174,0.36351,0.16421,0.79963,0.63039,0.21409,0.4055,0.35734,0.18794,0.66386,0.67552
0.34789,0.41473,0.36201,0.16073,0.77892,0.62122,0.21419,0.40392,0.35542,0.18387,0.64908,0.66403
0.34589,0.41156,0.36066,0.15786,0.7606,0.61257,0.21423,0.40227,0.35416,0.17967,0.63741,0.65232
0.36021,0.40732,0.3589,0.15482,0.74652,0.60309,0.21428,0.3998,0.35279,0.17606,0.62414,0.64069
0.37073,0.4065,0.35635,0.15202,0.73165,0.59446,0.21437,0.3974,0.35106,0.17199,0.60911,0.63007
0.38111,0.40441,0.35391,0.1492,0.70933,0.58238,0.21439,0.39583,0.34959,0.1693,0.59507,0.61987
0.39122,0.4019,0.35157,0.1471,0.69184,0.57561,0.21445,0.39439,0.3482,0.16508,0.58227,0.60054
0.40033,0.40221,0.34944,0.14493,0.67658,0.56109,0.2145,0.39302,0.34661,0.16279,0.56721,0.59038
0.40461,0.402,0.34734,0.14275,0.66226,0.55484,0.2146,0.39123,0.34543,0.16014,0.55262,0.58131
0.41425,0.40118,0.3451,0.14099,0.65097,0.54857,0.21462,0.39031,0.34423,0.15805,0.54018,0.57207
0.42384,0.40015,0.34307,0.13948,0.63718,0.53799,0.21465,0.38852,0.3428,0.15519,0.52884,0.56334
0.42712,0.39958,0.34146,0.13792,0.62492,0.53172,0.21468,0.38741,0.34172,0.15332,0.49043,0.55514
0.42794,0.39845,0.33989,0.13632,0.61147,0.52469,0.21467,0.38634,0.3405,0.15176,0.48178,0.54664
0.42398,0.39793,0.3381,0.13483,0.59959,0.51704,0.21469,0.38571,0.3399,0.14956,0.47532,0.53847
0.42333,0.39688,0.33668,0.13378,0.5863,0.50993,0.21473,0.38427,0.33934,0.14802,0.47115,0.53092
0.4275,0.39592,0.33535,0.13264,0.57716,0.50426,0.21475,0.38296,0.3385,0.14649,0.46674,0.52388
0.4293,0.39506,0.33393,0.13164,0.56696,0.49857,0.21476,0.3822,0.33772,0.14517,0.46051,0.51681
0.43129,0.3947,0.3325,0.13071,0.55706,0.49332,0.21477,0.38109,0.33695,0.14334,0.4559,0.50992
0.43227,0.39391,0.33113,0.12953,0.5471,0.48771,0.21476,0.38008,0.33609,0.14201,0.45155,0.50357
0.43231,0.39362,0.33016,0.12857,0.53639,0.48236,0.21481,0.37902,0.33563,0.14109,0.44577,0.49651
0.43248,0.39375,0.32928,0.12791,0.52708,0.47778,0.21481,0.37801,0.33482,0.13982,0.44229,0.49033
0.43256,0.39257,0.32859,0.12721,0.51788,0.47304,0.21483,0.37717,0.33414,0.13887,0.43979,0.48434
0.43222,0.39023,0.32782,0.12652,0.51096,0.46738,0.21485,0.37633,0.33346,0.13761,0.43709,0.47782
0.43329,0.38868,0.32694,0.12576,0.5028,0.46209,0.21484,0.37535,0.33289,0.13678,0.43142,0.47188
0.43371,0.38807,0.32634,0.12511,0.49509,0.4573,0.21484,0.37448,0.33222,0.13607,0.42762,0.46648
0.43421,0.38724,0.32554,0.12461,0.48805,0.45261,0.21483,0.37367,0.33152,0.13531,0.42556,0.46078
0.43448,0.38737,0.32493,0.12411,0.48152,0.44798,0.21482,0.37314,0.3308,0.13463,0.42164,0.45524
0.435,0.38645,0.32436,0.12351,0.47465,0.44271,0.21482,0.37225,0.32997,0.13413,0.41889,0.45052
0.43308,0.38528,0.32363,0.12318,0.47013,0.43767,0.21481,0.37161,0.32931,0.13379,0.41303,0.44551
0.43269,0.38301,0.32234,0.12311,0.46457,0.43394,0.21483,0.37079,0.3286,0.13343,0.41166,0.44081
0.43239,0.38099,0.32137,0.12281,0.45885,0.42966,0.21483,0.36991,0.32781,0.1331,0.41013,0.43543
0.43261,0.38003,0.32087,0.12248,0.45417,0.42409,0.21483,0.36917,0.32714,0.13272,0.40696,0.43049
0.43284,0.37816,0.32029,0.12225,0.45033,0.42042,0.21483,0.36841,0.32629,0.1325,0.40396,0.42595
0.43461,0.37657,0.31992,0.12236,0.44498,0.41651,0.21483,0.36773,0.32538,0.13204,0.40118,0.42137
0.43478,0.37412,0.31982,0.12202,0.44149,0.41321,0.21483,0.36673,0.32469,0.13173,0.39954,0.4157
0.43518,0.37281,0.31932,0.12203,0.43719,0.40977,0.21482,0.36582,0.32396,0.1315,0.39817,0.41175
0.43512,0.37086,0.31892,0.12192,0.43375,0.40537,0.21482,0.36478,0.32324,0.13133,0.3972,0.40757
0.43539,0.36864,0.31848,0.12186,0.42982,0.40174,0.21482,0.36378,0.32236,0.13125,0.39565,0.40343
0.43571,0.36561,0.31803,0.12163,0.42604,0.39616,0.21482,0.36301,0.32159,0.13111,0.39441,0.39936
0.43608,0.36226,0.3177,0.12158,0.42264,0.3932,0.21483,0.36206,0.321,0.1311,0.38872,0.39537
0.43589,0.35985,0.31729,0.12159,0.41987,0.39009,0.21483,0.36093,0.32037,0.13092,0.38755,0.39215
0.43657,0.35676,0.31697,0.12144,0.41676,0.3871,0.21482,0.3598,0.31959,0.1309,0.38587,0.38817
0.43673,0.3542,0.31669,0.12143,0.41427,0.38396,0.21482,0.35866,0.3189,0.13091,0.3853,0.38482
