qb,t5,gpt2,mistralprompt,phiprompt,phifinetune,context + qb,context + t5,context + gpt2,context + mistralprompt,context + phiprompt,context + phifinetune
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.80927,0.80963,0.0,0.0,0.98359,0.29718,0.74631,0.68462,0.0,0.0,0.99317
0.0,0.76173,0.70069,0.34472,0.0,0.97727,0.2918,0.72801,0.69279,0.3311,0.0,0.98858
0.0,0.70228,0.60474,0.31691,0.0,0.97029,0.2839,0.70966,0.69094,0.35123,0.0,0.98453
0.0,0.65939,0.54147,0.26244,0.0,0.96253,0.27751,0.69014,0.68001,0.37455,0.0,0.97994
0.93617,0.61386,0.50475,0.23362,0.0,0.95563,0.27148,0.66868,0.6675,0.35572,0.0,0.97596
0.87197,0.57723,0.48624,0.21871,0.0,0.943,0.26724,0.65124,0.65523,0.32947,0.0,0.97235
0.84357,0.55107,0.47494,0.20777,0.0,0.93303,0.26379,0.63688,0.64146,0.30445,0.0,0.96869
0.76114,0.52818,0.46656,0.20173,0.0,0.92354,0.26132,0.6249,0.62986,0.27214,1.0,0.96452
0.78176,0.51058,0.45844,0.19297,0.0,0.91135,0.25947,0.61641,0.61962,0.24265,1.0,0.96
0.78313,0.49496,0.45326,0.18206,0.0,0.89814,0.25804,0.61144,0.61076,0.22217,1.0,0.95553
0.74229,0.48602,0.44806,0.17453,0.0,0.88601,0.25702,0.60652,0.60053,0.20678,1.0,0.95084
0.69279,0.4787,0.443,0.16502,1.0,0.87322,0.2562,0.60314,0.59193,0.19527,0.96285,0.94654
0.64739,0.47253,0.43776,0.15499,1.0,0.86008,0.25559,0.60036,0.5848,0.18041,0.90922,0.94187
0.59999,0.46432,0.43328,0.14648,0.94444,0.84547,0.25501,0.5971,0.57778,0.17149,0.80804,0.93593
0.56753,0.45693,0.42848,0.1396,0.84848,0.83119,0.2545,0.59426,0.57278,0.1627,0.67435,0.92989
0.54709,0.45191,0.42443,0.13431,0.88,0.81745,0.25416,0.59104,0.56704,0.15428,0.61099,0.92392
0.55419,0.44587,0.41942,0.12959,0.7973,0.80315,0.25399,0.58711,0.5619,0.14722,0.52655,0.9176
0.5435,0.44115,0.41492,0.12507,0.77321,0.78884,0.25387,0.5841,0.55652,0.14111,0.44901,0.91113
0.53935,0.4351,0.41123,0.12036,0.74136,0.77528,0.25372,0.58021,0.55239,0.13536,0.39879,0.90535
0.54201,0.43037,0.40805,0.11628,0.73355,0.76266,0.25358,0.57663,0.54787,0.12915,0.35749,0.89853
