qb,t5,gpt2,mistralprompt,phiprompt,phifinetune,context + qb,context + t5,context + gpt2,context + mistralprompt,context + phiprompt,context + phifinetune
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.72882,0.52653,0.0,0.50746,0.25432,0.09047,0.71914,0.68033,0.0,0.0,0.5336
0.0,0.59534,0.36881,0.27813,0.0,0.29667,0.0908,0.5362,0.58679,0.6953,0.0,0.55098
0.0,0.53738,0.28729,0.26291,0.0,0.31846,0.09179,0.42934,0.50529,0.23502,0.0,0.54196
0.0,0.47803,0.24125,0.23605,0.0,0.34068,0.09319,0.35945,0.4379,0.22461,0.0,0.53177
0.0,0.42274,0.21762,0.23846,0.0,0.35935,0.09473,0.31772,0.38204,0.20194,0.0,0.52074
0.0,0.38301,0.20567,0.22535,0.0,0.35996,0.09651,0.29497,0.33907,0.1979,0.0,0.51342
0.0,0.35203,0.20042,0.22298,0.0,0.36254,0.09815,0.28199,0.30363,0.18907,0.0,0.50626
0.0,0.32971,0.19769,0.21495,0.0,0.35854,0.09952,0.27563,0.27681,0.18138,0.0,0.49716
0.0,0.31634,0.19513,0.20759,0.0,0.35834,0.09998,0.27209,0.25708,0.17686,0.0,0.48817
0.0,0.30167,0.19442,0.20084,0.0,0.35325,0.10067,0.27035,0.24214,0.17193,0.0,0.48042
0.0,0.29233,0.19346,0.19383,0.0,0.35116,0.10102,0.26793,0.23192,0.16724,0.27692,0.47183
0.0,0.28637,0.19197,0.18814,0.33903,0.3488,0.10156,0.26605,0.22525,0.16567,0.1108,0.46332
0.03618,0.28053,0.19058,0.18129,0.43502,0.34789,0.1016,0.26497,0.21989,0.16358,0.27987,0.45571
0.03618,0.27706,0.18835,0.17541,0.52945,0.34678,0.10183,0.26376,0.21634,0.16111,0.34884,0.44757
0.01992,0.27219,0.18558,0.17074,0.52219,0.34528,0.10149,0.26229,0.21389,0.15697,0.35338,0.43874
0.54582,0.26812,0.1843,0.16619,0.4931,0.34444,0.10137,0.2611,0.21184,0.15403,0.35715,0.43158
0.27459,0.26413,0.1822,0.16197,0.46495,0.34421,0.10132,0.25961,0.21027,0.14935,0.35962,0.42413
0.24843,0.25991,0.18058,0.15864,0.46758,0.34276,0.10106,0.2584,0.20925,0.14571,0.34962,0.41667
0.15775,0.25776,0.17946,0.15479,0.45841,0.33797,0.10092,0.25668,0.20802,0.14255,0.33226,0.40981
0.14264,0.25582,0.17832,0.15215,0.44424,0.33564,0.10087,0.25523,0.20691,0.13865,0.31236,0.40228
0.13272,0.25375,0.17678,0.14911,0.41884,0.3331,0.10074,0.25365,0.20561,0.13556,0.31943,0.39657
0.13356,0.25146,0.17545,0.14607,0.4018,0.33062,0.10048,0.25207,0.20473,0.13255,0.31172,0.39059
0.1792,0.25096,0.17427,0.1432,0.38967,0.32654,0.10034,0.25091,0.20343,0.12997,0.31092,0.38445
0.15276,0.2479,0.17224,0.14063,0.38656,0.32287,0.10015,0.24972,0.20255,0.12781,0.29387,0.37872
0.14581,0.24633,0.17044,0.13791,0.37063,0.31834,0.10018,0.24913,0.20168,0.12541,0.28867,0.3718
0.14573,0.24516,0.16902,0.13578,0.36264,0.3164,0.10003,0.24756,0.20042,0.12275,0.27453,0.36659
0.15506,0.2429,0.16746,0.13339,0.35435,0.31422,0.09992,0.24658,0.19953,0.12087,0.27328,0.36173
0.14917,0.24028,0.16594,0.13153,0.34734,0.31275,0.0998,0.24536,0.19865,0.11847,0.26824,0.35657
0.15192,0.23863,0.16387,0.12935,0.34541,0.31037,0.09978,0.2438,0.19769,0.11698,0.26496,0.35132
0.15992,0.23746,0.16245,0.12746,0.33713,0.30693,0.0997,0.24224,0.19653,0.11457,0.26023,0.34648
0.15988,0.23651,0.16106,0.1257,0.32115,0.3014,0.09964,0.24134,0.19564,0.11321,0.25719,0.3422
0.1618,0.23376,0.15997,0.12407,0.30861,0.29984,0.09962,0.24054,0.19471,0.1109,0.25224,0.33271
0.16264,0.23264,0.15889,0.12276,0.30167,0.29355,0.09955,0.23956,0.19357,0.10973,0.24719,0.32858
0.15866,0.23194,0.15795,0.12142,0.29407,0.29196,0.09953,0.23835,0.19283,0.10823,0.24068,0.32485
0.1551,0.23183,0.15698,0.11998,0.28841,0.28928,0.09952,0.23779,0.19201,0.10717,0.23506,0.32079
0.15636,0.23102,0.156,0.11887,0.28014,0.28475,0.09949,0.23644,0.19126,0.1055,0.23014,0.31729
0.1554,0.22997,0.15519,0.11774,0.27476,0.28288,0.09948,0.23575,0.19064,0.10451,0.2142,0.31392
0.15454,0.22873,0.15448,0.11651,0.26804,0.28037,0.09946,0.23512,0.18971,0.10378,0.21197,0.31087
0.15048,0.22776,0.15356,0.11549,0.26184,0.2779,0.09946,0.23474,0.18909,0.10252,0.2083,0.30756
0.14816,0.22679,0.15291,0.11454,0.25481,0.27556,0.09947,0.23361,0.18875,0.10163,0.20708,0.30401
0.14836,0.2258,0.15229,0.11368,0.25013,0.27413,0.09947,0.23289,0.18805,0.10066,0.20581,0.30122
0.1469,0.2251,0.15169,0.113,0.24545,0.27176,0.09948,0.23233,0.18746,0.09994,0.20422,0.29844
0.14601,0.22425,0.15104,0.11232,0.24099,0.26923,0.09948,0.23143,0.18714,0.09898,0.20285,0.29537
0.1451,0.22316,0.15042,0.1114,0.23658,0.26697,0.09947,0.23065,0.18653,0.09812,0.20264,0.29251
0.1444,0.22229,0.14991,0.11068,0.23149,0.26471,0.09948,0.22998,0.1863,0.09749,0.2011,0.28892
0.14239,0.22133,0.14955,0.11013,0.22688,0.26272,0.09948,0.22913,0.18567,0.09671,0.20071,0.28568
0.14028,0.2205,0.14916,0.10956,0.22332,0.25831,0.09947,0.22826,0.18545,0.09614,0.20022,0.28263
0.13866,0.21882,0.1488,0.10906,0.22057,0.25594,0.09947,0.22766,0.1849,0.09539,0.20026,0.27904
0.13733,0.21709,0.14837,0.10844,0.21672,0.25319,0.09946,0.22694,0.18449,0.09489,0.19843,0.27579
0.13636,0.21646,0.14811,0.10784,0.21368,0.251,0.09946,0.2262,0.18401,0.09446,0.19738,0.2727
0.13495,0.21542,0.14772,0.10743,0.21055,0.24841,0.09946,0.2256,0.18353,0.094,0.19758,0.26944
0.13299,0.21428,0.14735,0.1069,0.20829,0.24659,0.09946,0.2249,0.18308,0.09348,0.1975,0.26602
0.13159,0.21396,0.147,0.10647,0.20604,0.24453,0.09945,0.22403,0.1826,0.09315,0.19684,0.2634
0.13042,0.21294,0.14658,0.10613,0.20523,0.24256,0.09945,0.22359,0.18206,0.09285,0.19465,0.2602
0.12947,0.21123,0.14602,0.10581,0.20374,0.24039,0.09945,0.2229,0.18164,0.0926,0.19467,0.25726
0.12861,0.20984,0.14555,0.10549,0.20218,0.23864,0.09945,0.22202,0.1811,0.09235,0.19445,0.25377
0.12787,0.2091,0.14527,0.10507,0.201,0.23568,0.09945,0.22145,0.18064,0.09205,0.19418,0.25062
0.12647,0.20783,0.145,0.10478,0.19981,0.23462,0.09945,0.22082,0.18007,0.09185,0.19353,0.24788
0.12584,0.20649,0.14481,0.10453,0.19765,0.2328,0.09945,0.22024,0.17952,0.09152,0.19275,0.24467
0.12516,0.20501,0.14455,0.10414,0.19677,0.23143,0.09945,0.2194,0.17913,0.09128,0.19274,0.24096
0.12444,0.20436,0.14433,0.10374,0.19528,0.22984,0.09945,0.21879,0.17854,0.0911,0.19239,0.23839
0.12356,0.20307,0.14412,0.10345,0.19337,0.22763,0.09945,0.21791,0.17809,0.09098,0.19235,0.23565
0.12314,0.20118,0.14397,0.10326,0.19224,0.2259,0.09945,0.21703,0.17751,0.09089,0.19229,0.23294
