qb,t5,gpt2,mistralprompt,phiprompt,phifinetune,context + qb,context + t5,context + gpt2,context + mistralprompt,context + phiprompt,context + phifinetune
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.66871,0.61972,0.0,0.0,0.15292,0.10646,0.81278,0.70779,0.0,0.0,0.27692
0.0,0.58173,0.42381,0.11922,0.0,0.16172,0.10863,0.76422,0.67204,0.13558,0.0,0.28596
0.0,0.51454,0.3253,0.12264,0.0,0.16758,0.10947,0.71647,0.64621,0.09347,0.0,0.29022
0.0,0.45255,0.27933,0.09852,0.0,0.17429,0.10877,0.67122,0.61959,0.16402,0.0,0.29253
0.93617,0.39698,0.25695,0.08804,0.0,0.18167,0.1073,0.63209,0.59253,0.17019,0.0,0.29346
0.7134,0.35961,0.24624,0.08587,0.0,0.18522,0.10587,0.60294,0.56881,0.16114,0.0,0.29353
0.64388,0.33598,0.24009,0.07999,0.0,0.19085,0.1047,0.58255,0.54603,0.1573,0.0,0.29404
0.58982,0.31748,0.23545,0.07992,0.0,0.19334,0.10363,0.56772,0.52557,0.14787,0.39631,0.29464
0.56699,0.30103,0.23075,0.0797,0.0,0.19766,0.10276,0.55792,0.50794,0.13737,0.34817,0.29473
0.55515,0.28908,0.22765,0.07737,0.0,0.19803,0.10199,0.5527,0.49343,0.12549,0.31158,0.2946
0.52988,0.28179,0.22435,0.07463,0.0,0.1999,0.10147,0.54818,0.47881,0.11992,0.28053,0.29368
0.46957,0.27472,0.22068,0.0725,0.53333,0.20005,0.10102,0.54475,0.46717,0.11442,0.25547,0.29347
0.42415,0.26832,0.21659,0.06826,0.49886,0.20029,0.10053,0.54207,0.45851,0.10702,0.24827,0.2928
0.37986,0.26235,0.21242,0.06591,0.34987,0.20091,0.10022,0.53907,0.44993,0.10413,0.21608,0.29188
0.35359,0.2567,0.20871,0.06388,0.37787,0.202,0.09988,0.53637,0.44466,0.10116,0.18667,0.29134
0.32601,0.25251,0.2051,0.0625,0.35709,0.20174,0.09966,0.53323,0.43904,0.0977,0.17793,0.29041
0.32439,0.24829,0.20156,0.06101,0.33836,0.20274,0.09957,0.52982,0.43438,0.09482,0.16297,0.28986
0.30241,0.24578,0.19875,0.05979,0.32338,0.20424,0.09943,0.52635,0.42971,0.09201,0.15362,0.28913
0.28789,0.2411,0.19597,0.05811,0.27218,0.20489,0.09933,0.52214,0.42637,0.08882,0.14321,0.28875
0.27607,0.23792,0.19322,0.05671,0.2402,0.20626,0.09926,0.51831,0.42268,0.08572,0.13182,0.28817
0.25697,0.23464,0.19055,0.05531,0.23432,0.20621,0.09917,0.51492,0.41973,0.08362,0.13162,0.28653
0.24928,0.23178,0.18794,0.05414,0.22454,0.20753,0.09911,0.51132,0.41605,0.08225,0.12216,0.28538
0.23585,0.22866,0.18552,0.05317,0.21175,0.20781,0.09908,0.50788,0.41293,0.08058,0.12406,0.2841
0.22816,0.2255,0.18278,0.05238,0.19818,0.20811,0.09904,0.50418,0.40924,0.07865,0.1279,0.28245
0.21786,0.22183,0.18028,0.05154,0.18571,0.20902,0.09901,0.50024,0.40567,0.07694,0.12211,0.28115
0.20775,0.21897,0.17819,0.05055,0.17806,0.20849,0.09901,0.49649,0.40213,0.07504,0.11522,0.27939
0.19897,0.21696,0.17581,0.04978,0.16812,0.20819,0.09899,0.49243,0.39923,0.07349,0.10912,0.27763
0.19166,0.2158,0.17433,0.049,0.15843,0.2082,0.09899,0.48868,0.3955,0.07192,0.11186,0.27582
0.18353,0.21307,0.17205,0.04826,0.15504,0.20785,0.09898,0.485,0.39239,0.07061,0.11207,0.27324
0.17776,0.21071,0.17051,0.04751,0.15161,0.20736,0.09897,0.48122,0.38889,0.06933,0.11118,0.27081
0.17134,0.20947,0.16922,0.04681,0.15348,0.20626,0.09897,0.4773,0.38535,0.06809,0.11609,0.26852
0.16644,0.2081,0.1679,0.04616,0.14949,0.20498,0.09896,0.47363,0.38191,0.06688,0.11238,0.26648
0.16226,0.20679,0.16645,0.04566,0.14586,0.20307,0.09896,0.4702,0.37854,0.06562,0.11291,0.26383
0.15852,0.20471,0.16518,0.04524,0.14225,0.20109,0.09896,0.46663,0.37548,0.06452,0.11167,0.26146
0.15522,0.20248,0.164,0.0448,0.1391,0.19906,0.09896,0.46313,0.37198,0.0637,0.11273,0.25874
0.15181,0.20096,0.16253,0.04443,0.13736,0.197,0.09897,0.45967,0.36863,0.0627,0.11364,0.25586
0.1482,0.19945,0.16127,0.04398,0.13498,0.19459,0.09897,0.45577,0.36544,0.06175,0.11598,0.25329
0.1451,0.19852,0.16042,0.04359,0.13261,0.19211,0.09897,0.45244,0.36239,0.06095,0.11527,0.25072
0.14185,0.19662,0.15952,0.04327,0.13052,0.18978,0.09897,0.44909,0.35933,0.06015,0.11585,0.24771
0.13841,0.19557,0.15873,0.04299,0.1287,0.18746,0.09897,0.44608,0.35607,0.05936,0.11644,0.24512
0.13598,0.19469,0.15809,0.0427,0.12604,0.18545,0.09897,0.44313,0.3531,0.05855,0.11665,0.24248
0.13349,0.19393,0.15741,0.04247,0.12365,0.18324,0.09897,0.4404,0.35038,0.05786,0.11677,0.23969
0.13092,0.19241,0.15668,0.04217,0.1212,0.18112,0.09897,0.43749,0.34761,0.05726,0.11642,0.23697
0.12841,0.19168,0.15612,0.04187,0.11785,0.17908,0.09897,0.43451,0.34483,0.05672,0.11674,0.2347
0.12687,0.19078,0.15563,0.04162,0.11537,0.17688,0.09897,0.43169,0.34193,0.05627,0.1187,0.23231
0.12438,0.18944,0.15515,0.04142,0.11292,0.17465,0.09897,0.42902,0.33909,0.05602,0.11989,0.22986
0.12308,0.18811,0.15471,0.04126,0.1113,0.17302,0.09897,0.4258,0.33651,0.05562,0.12185,0.22723
0.122,0.1873,0.15433,0.04112,0.10885,0.17096,0.09897,0.4228,0.33375,0.05505,0.1238,0.22477
0.1209,0.18631,0.1539,0.04092,0.1063,0.16957,0.09897,0.41991,0.33116,0.05471,0.12545,0.22231
