qb,t5,gpt2,mistralprompt,phiprompt,phifinetune,context + qb,context + t5,context + gpt2,context + mistralprompt,context + phiprompt,context + phifinetune
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.67647,0.46094,0.0,0.5,0.16348,0.02396,0.66703,0.61686,0.0,0.0,0.14921
0.0,0.52778,0.28433,0.18868,0.0,0.19061,0.02355,0.45525,0.51754,0.0,0.0,0.19281
0.0,0.46759,0.20005,0.15588,0.0,0.19842,0.02226,0.33942,0.42401,0.0,0.0,0.20485
0.0,0.39892,0.15685,0.14193,0.0,0.20388,0.02066,0.26871,0.34746,0.00514,0.0,0.20569
0.0,0.33897,0.13591,0.13685,0.0,0.20642,0.01902,0.2284,0.28952,0.00468,0.0,0.20463
0.0,0.29991,0.1263,0.12312,0.0,0.19651,0.01783,0.20791,0.24692,0.00874,0.0,0.20489
0.0,0.26749,0.12211,0.11608,0.0,0.19301,0.0168,0.1967,0.21346,0.00889,0.0,0.20166
0.0,0.24678,0.11999,0.10894,0.0,0.17888,0.01595,0.19126,0.18937,0.00975,0.0,0.19823
0.0,0.2351,0.11811,0.09962,0.0,0.16826,0.01532,0.18823,0.17237,0.01005,0.0,0.19247
0.0,0.22202,0.11775,0.09226,0.0,0.15567,0.01489,0.18643,0.15996,0.01017,0.0,0.18838
0.0,0.21263,0.11699,0.08488,0.0,0.14732,0.01432,0.18414,0.15167,0.01016,0.0,0.18488
0.0,0.20653,0.11555,0.07895,0.22222,0.13686,0.01424,0.182,0.14643,0.01031,0.0,0.1807
0.0,0.20065,0.11441,0.07281,0.375,0.12759,0.01398,0.18081,0.14213,0.01026,0.0,0.17661
0.0,0.19789,0.11246,0.06732,0.4878,0.12065,0.01395,0.17975,0.13938,0.01008,0.0,0.17096
0.0,0.19225,0.10984,0.06284,0.48684,0.11394,0.01371,0.17831,0.13718,0.00948,0.0,0.16553
0.53659,0.18795,0.1086,0.05842,0.45802,0.10737,0.01357,0.17711,0.13534,0.00961,0.0,0.16013
0.24138,0.18406,0.10708,0.05511,0.41748,0.10291,0.01356,0.17558,0.13401,0.00946,0.0,0.15522
0.19588,0.18033,0.10563,0.05184,0.41071,0.09821,0.01342,0.17464,0.13313,0.00941,0.0,0.1506
0.11184,0.17764,0.10473,0.04874,0.40267,0.09289,0.01332,0.17323,0.13194,0.0094,0.0,0.14573
0.08793,0.17587,0.10386,0.04621,0.38538,0.08855,0.0133,0.17176,0.13077,0.00915,0.00173,0.14091
0.07478,0.17359,0.10241,0.04398,0.35517,0.08421,0.01328,0.17017,0.12959,0.00903,0.00523,0.13645
0.07674,0.17189,0.10123,0.04183,0.34136,0.07994,0.01323,0.1686,0.12884,0.0087,0.00941,0.13217
0.11435,0.17178,0.1001,0.03987,0.32753,0.07565,0.01315,0.16776,0.12775,0.00858,0.01338,0.12769
0.08341,0.16884,0.09842,0.03815,0.32408,0.07199,0.0131,0.16671,0.12681,0.00842,0.0171,0.12341
0.07706,0.16662,0.09688,0.03643,0.30907,0.06852,0.01307,0.16633,0.12597,0.00819,0.02013,0.11861
0.07883,0.16511,0.09557,0.03491,0.3011,0.06544,0.01304,0.16505,0.12497,0.00796,0.02148,0.11426
0.08564,0.16259,0.0942,0.03347,0.29365,0.06255,0.01302,0.16437,0.12451,0.00768,0.02648,0.10998
0.0837,0.16007,0.09297,0.03233,0.2848,0.06024,0.013,0.16319,0.12384,0.00741,0.02926,0.10533
0.08456,0.15862,0.09132,0.03104,0.28043,0.05745,0.013,0.16186,0.12307,0.00726,0.0294,0.10081
0.09087,0.15759,0.09012,0.0299,0.27155,0.0548,0.01298,0.1604,0.12199,0.007,0.0306,0.09681
0.08891,0.15646,0.089,0.02881,0.25423,0.05193,0.01298,0.15963,0.12134,0.00682,0.03036,0.09298
