qb,t5,gpt2,mistralprompt,phiprompt,phifinetune,context + qb,context + t5,context + gpt2,context + mistralprompt,context + phiprompt,context + phifinetune
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.54301,0.5378,0.0,0.0,0.02943,0.043,0.37543,0.28425,0.0,0.0,0.03376
0.0,0.47026,0.32915,0.08333,0.0,0.03288,0.04185,0.35061,0.2921,0.0625,0.0,0.04046
0.0,0.41197,0.22961,0.06723,0.0,0.03495,0.03986,0.32654,0.2855,0.0102,0.0,0.04374
0.0,0.34286,0.1876,0.03827,0.0,0.03938,0.03784,0.3016,0.27437,0.02847,0.0,0.04505
0.93617,0.29043,0.16801,0.02703,0.0,0.04352,0.03583,0.28079,0.26118,0.03936,0.0,0.0457
0.65982,0.25499,0.1588,0.02143,0.0,0.04658,0.0343,0.26484,0.24871,0.03868,0.0,0.04617
0.59685,0.23262,0.1537,0.01692,0.0,0.04916,0.03308,0.25368,0.23631,0.03787,0.0,0.04638
0.54503,0.21611,0.14997,0.01544,0.0,0.0509,0.03218,0.24659,0.22636,0.03306,0.0,0.04659
0.52184,0.20253,0.14621,0.01425,0.0,0.05309,0.03134,0.24181,0.21675,0.0302,0.0,0.04695
0.50391,0.19194,0.14348,0.01303,0.0,0.05435,0.03078,0.2395,0.20959,0.02652,0.0,0.04708
0.47792,0.18645,0.14071,0.01205,0.0,0.05675,0.0304,0.2372,0.20252,0.02436,0.0,0.04696
0.41013,0.18007,0.13775,0.01103,0.0,0.05744,0.03005,0.23574,0.19639,0.02278,0.0,0.0473
0.35554,0.17506,0.13435,0.00964,0.0,0.05838,0.02978,0.23476,0.1924,0.01985,0.0,0.04732
0.31209,0.17036,0.13067,0.00864,0.05556,0.05852,0.0296,0.23342,0.18871,0.01863,0.0,0.04742
0.28684,0.16595,0.12748,0.00814,0.12121,0.05827,0.02947,0.23266,0.1865,0.01736,0.0,0.04756
0.26082,0.16295,0.12442,0.00769,0.14,0.05806,0.02934,0.2313,0.18392,0.01635,0.01245,0.0475
0.25586,0.15933,0.12135,0.0072,0.13514,0.05748,0.02929,0.22975,0.18159,0.01533,0.0228,0.04744
0.23332,0.1569,0.11905,0.00701,0.11475,0.05658,0.02923,0.22836,0.17958,0.01404,0.02451,0.04709
0.2131,0.15344,0.11629,0.00657,0.1005,0.05524,0.02917,0.22663,0.17829,0.01332,0.02703,0.04691
0.19808,0.15033,0.11409,0.00614,0.09541,0.05472,0.02912,0.22496,0.17632,0.01221,0.02736,0.0466
0.18028,0.14705,0.11162,0.00577,0.09524,0.05328,0.02908,0.22352,0.17489,0.01137,0.03273,0.04587
0.17317,0.1448,0.10901,0.0055,0.08921,0.05243,0.02906,0.22191,0.17324,0.01062,0.03173,0.04538
0.16012,0.14179,0.10709,0.00521,0.08703,0.05054,0.02904,0.22067,0.17185,0.00996,0.0383,0.04475
0.15262,0.13896,0.10454,0.00494,0.07487,0.04865,0.02902,0.21931,0.17009,0.00944,0.04901,0.04411
0.14248,0.13598,0.10242,0.00467,0.06862,0.0469,0.02901,0.21753,0.16851,0.00884,0.04659,0.04359
0.13311,0.13399,0.10057,0.0044,0.06404,0.0452,0.02902,0.21618,0.16727,0.00836,0.04477,0.04301
0.12582,0.13154,0.09861,0.00422,0.0571,0.0433,0.02901,0.21476,0.1661,0.00794,0.0424,0.04251
0.11985,0.13048,0.09735,0.00408,0.05209,0.04188,0.029,0.21325,0.1644,0.00759,0.04545,0.04193
0.11296,0.12791,0.09555,0.00392,0.04978,0.04071,0.029,0.21157,0.1631,0.00728,0.04646,0.04117
0.10901,0.1257,0.09425,0.00382,0.04903,0.03915,0.029,0.20977,0.16142,0.007,0.04663,0.04037
0.1034,0.12478,0.09303,0.00367,0.05158,0.03789,0.029,0.20803,0.16018,0.00671,0.05164,0.03978
0.09984,0.12372,0.09181,0.0036,0.05038,0.03655,0.029,0.20667,0.15866,0.0065,0.0502,0.03925
0.09687,0.12269,0.0907,0.00349,0.0496,0.03522,0.029,0.20535,0.15695,0.00627,0.05057,0.03862
0.09448,0.12106,0.08971,0.00336,0.04764,0.03387,0.029,0.20387,0.15542,0.00607,0.04985,0.03786
0.0918,0.11893,0.08865,0.00326,0.04643,0.03276,0.029,0.20251,0.15385,0.0059,0.05053,0.03718
0.08924,0.11732,0.08742,0.00318,0.04526,0.03173,0.029,0.20114,0.15262,0.00571,0.05089,0.03647
0.08634,0.11587,0.0865,0.00309,0.04468,0.03045,0.029,0.19926,0.15136,0.00554,0.05159,0.0358
0.08403,0.11462,0.0857,0.00302,0.04352,0.02934,0.029,0.19783,0.15024,0.00537,0.05028,0.03512
