qb,t5,gpt2,mistralprompt,phiprompt,phifinetune,context + qb,context + t5,context + gpt2,context + mistralprompt,context + phiprompt,context + phifinetune
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.1,0.1,0.003,0.037,0.017,0.1,0.1,0.1,0.003,0.003,0.017
0.199,0.199,0.199,0.007,0.033,0.033,0.199,0.199,0.199,0.007,0.007,0.033
0.299,0.299,0.299,0.01,0.03,0.05,0.299,0.299,0.299,0.01,0.01,0.05
0.399,0.399,0.399,0.013,0.023,0.066,0.399,0.399,0.399,0.013,0.013,0.066
0.498,0.498,0.498,0.017,0.02,0.083,0.498,0.498,0.498,0.017,0.017,0.083
0.598,0.598,0.598,0.02,0.027,0.1,0.598,0.598,0.598,0.02,0.02,0.1
0.698,0.698,0.698,0.023,0.013,0.116,0.698,0.698,0.698,0.023,0.023,0.116
0.797,0.797,0.797,0.027,0.01,0.133,0.797,0.797,0.797,0.027,0.027,0.133
0.897,0.897,0.897,0.03,0.007,0.15,0.897,0.897,0.897,0.03,0.03,0.15
0.997,0.997,0.997,0.033,0.003,0.166,0.997,0.997,0.997,0.033,0.033,0.166
1.096,1.096,1.096,0.037,0.017,0.183,1.096,1.096,1.096,0.037,0.037,0.183
1.196,1.196,1.196,0.04,0.04,0.199,1.196,1.196,1.196,0.04,0.04,0.199
1.296,1.296,1.296,0.043,0.043,0.216,1.296,1.296,1.296,0.043,0.043,0.216
1.395,1.395,1.395,0.047,0.047,0.233,1.395,1.395,1.395,0.047,0.047,0.233
1.495,1.495,1.495,0.05,0.05,0.249,1.495,1.495,1.495,0.05,0.05,0.249
1.595,1.595,1.595,0.053,0.053,0.266,1.595,1.595,1.595,0.053,0.053,0.266
1.694,1.694,1.694,0.056,0.056,0.282,1.694,1.694,1.694,0.056,0.056,0.282
1.794,1.794,1.794,0.06,0.06,0.299,1.794,1.794,1.794,0.06,0.06,0.299
1.894,1.894,1.894,0.063,0.063,0.316,1.894,1.894,1.894,0.063,0.063,0.316
1.993,1.993,1.993,0.066,0.066,0.332,1.993,1.993,1.993,0.066,0.066,0.332
2.093,2.093,2.093,0.07,0.07,0.349,2.093,2.093,2.093,0.07,0.07,0.349
2.193,2.193,2.193,0.073,0.073,0.365,2.193,2.193,2.193,0.073,0.073,0.365
2.292,2.292,2.292,0.076,0.076,0.382,2.292,2.292,2.292,0.076,0.076,0.382
2.392,2.392,2.392,0.08,0.08,0.399,2.392,2.392,2.392,0.08,0.08,0.399
2.492,2.492,2.492,0.083,0.083,0.415,2.492,2.492,2.492,0.083,0.083,0.415
2.591,2.591,2.591,0.086,0.086,0.432,2.591,2.591,2.591,0.086,0.086,0.432
2.691,2.691,2.691,0.09,0.09,0.449,2.691,2.691,2.691,0.09,0.09,0.449
2.791,2.791,2.791,0.093,0.093,0.465,2.791,2.791,2.791,0.093,0.093,0.465
2.89,2.89,2.89,0.096,0.096,0.482,2.89,2.89,2.89,0.096,0.096,0.482
2.99,2.99,2.99,0.1,0.1,0.498,2.99,2.99,2.99,0.1,0.1,0.498
3.09,3.09,3.09,0.103,0.103,0.515,3.09,3.09,3.09,0.103,0.103,0.515
3.189,3.189,3.189,0.106,0.106,0.532,3.189,3.189,3.189,0.106,0.106,0.532
3.289,3.289,3.289,0.11,0.11,0.548,3.289,3.289,3.289,0.11,0.11,0.548
3.389,3.389,3.389,0.113,0.113,0.565,3.389,3.389,3.389,0.113,0.113,0.565
3.488,3.488,3.488,0.116,0.116,0.581,3.488,3.488,3.488,0.116,0.116,0.581
3.588,3.588,3.588,0.12,0.12,0.598,3.588,3.588,3.588,0.12,0.12,0.598
3.688,3.688,3.688,0.123,0.123,0.615,3.688,3.688,3.688,0.123,0.123,0.615
3.787,3.787,3.787,0.126,0.126,0.631,3.787,3.787,3.787,0.126,0.126,0.631
3.887,3.887,3.887,0.13,0.13,0.648,3.887,3.887,3.887,0.13,0.13,0.648
3.987,3.987,3.987,0.133,0.133,0.664,3.987,3.987,3.987,0.133,0.133,0.664
4.086,4.086,4.086,0.136,0.136,0.681,4.086,4.086,4.086,0.136,0.136,0.681
4.186,4.186,4.186,0.14,0.14,0.698,4.186,4.186,4.186,0.14,0.14,0.698
4.286,4.286,4.286,0.143,0.143,0.714,4.286,4.286,4.286,0.143,0.143,0.714
4.385,4.385,4.385,0.146,0.146,0.731,4.385,4.385,4.385,0.146,0.146,0.731
4.485,4.485,4.485,0.15,0.15,0.748,4.485,4.485,4.485,0.15,0.15,0.748
4.585,4.585,4.585,0.153,0.153,0.764,4.585,4.585,4.585,0.153,0.153,0.764
4.684,4.684,4.684,0.156,0.156,0.781,4.684,4.684,4.684,0.156,0.156,0.781
4.784,4.784,4.784,0.159,0.159,0.797,4.784,4.784,4.784,0.159,0.159,0.797
4.884,4.884,4.884,0.163,0.163,0.814,4.884,4.884,4.884,0.163,0.163,0.814
4.983,4.983,4.983,0.166,0.166,0.831,4.983,4.983,4.983,0.166,0.166,0.831
5.083,5.083,5.083,0.169,0.169,0.847,5.083,5.083,5.083,0.169,0.169,0.847
5.183,5.183,5.183,0.173,0.173,0.864,5.183,5.183,5.183,0.173,0.173,0.864
5.282,5.282,5.282,0.176,0.176,0.88,5.282,5.282,5.282,0.176,0.176,0.88
5.382,5.382,5.382,0.179,0.179,0.897,5.382,5.382,5.382,0.179,0.179,0.897
5.482,5.482,5.482,0.183,0.183,0.914,5.482,5.482,5.482,0.183,0.183,0.914
5.581,5.581,5.581,0.186,0.186,0.93,5.581,5.581,5.581,0.186,0.186,0.93
5.681,5.681,5.681,0.189,0.189,0.947,5.681,5.681,5.681,0.189,0.189,0.947
5.781,5.781,5.781,0.193,0.193,0.963,5.781,5.781,5.781,0.193,0.193,0.963
5.88,5.88,5.88,0.196,0.196,0.98,5.88,5.88,5.88,0.196,0.196,0.98
5.98,5.98,5.98,0.199,0.199,0.997,5.98,5.98,5.98,0.199,0.199,0.997
6.08,6.08,6.08,0.203,0.203,1.013,6.08,6.08,6.08,0.203,0.203,1.013
6.179,6.179,6.179,0.206,0.206,1.03,6.179,6.179,6.179,0.206,0.206,1.03
6.279,6.279,6.279,0.209,0.209,1.047,6.279,6.279,6.279,0.209,0.209,1.047
6.379,6.379,6.379,0.213,0.213,1.063,6.379,6.379,6.379,0.213,0.213,1.063
6.478,6.478,6.478,0.216,0.216,1.08,6.478,6.478,6.478,0.216,0.216,1.08
6.578,6.578,6.578,0.219,0.219,1.096,6.578,6.578,6.578,0.219,0.219,1.096
6.678,6.678,6.678,0.223,0.223,1.113,6.678,6.678,6.678,0.223,0.223,1.113
6.777,6.777,6.777,0.226,0.226,1.13,6.777,6.777,6.777,0.226,0.226,1.13
6.877,6.877,6.877,0.229,0.229,1.146,6.877,6.877,6.877,0.229,0.229,1.146
6.977,6.977,6.977,0.233,0.233,1.163,6.977,6.977,6.977,0.233,0.233,1.163
7.076,7.076,7.076,0.236,0.236,1.179,7.076,7.076,7.076,0.236,0.236,1.179
7.176,7.176,7.176,0.239,0.239,1.196,7.176,7.176,7.176,0.239,0.239,1.196
