qb,t5,gpt2,mistralprompt,phiprompt,phifinetune,context + qb,context + t5,context + gpt2,context + mistralprompt,context + phiprompt,context + phifinetune
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.00038,0.00773,0.0,0.0,0.00129,0.33027,0.00611,0.00174,0.0,0.0,0.00638
0.0,0.00113,0.0234,0.00012,0.0,0.00238,0.34289,0.01431,0.00647,3e-05,0.0,0.01183
0.0,0.00193,0.04194,0.00076,0.0,0.00341,0.37365,0.02373,0.01391,0.00029,0.0,0.01665
0.0,0.0029,0.05768,0.00207,0.0,0.00461,0.41571,0.03294,0.02329,0.00084,0.0,0.02099
0.0,0.00397,0.06871,0.00442,0.0,0.00579,0.46344,0.04058,0.03374,0.00183,0.0,0.0254
0.0,0.00509,0.07585,0.00789,0.0,0.00706,0.51095,0.04608,0.04477,0.00344,0.0,0.02949
0.0,0.00617,0.08014,0.01251,0.0,0.00852,0.56122,0.04966,0.0559,0.0058,0.0,0.03357
0.0,0.00712,0.08372,0.01806,0.0,0.0102,0.60789,0.05203,0.066,0.00881,0.0,0.03784
0.0,0.00796,0.08755,0.02437,0.0,0.01193,0.6535,0.0538,0.07524,0.01283,0.0,0.04234
0.0,0.0087,0.09145,0.03177,0.0,0.01394,0.69578,0.05538,0.08326,0.01817,0.0,0.04666
0.0,0.00928,0.09579,0.03976,0.0,0.01604,0.73477,0.05699,0.08957,0.0243,1e-05,0.05135
0.0,0.00981,0.10103,0.04838,2e-05,0.01859,0.77021,0.05869,0.09454,0.03165,2e-05,0.05588
2e-05,0.01031,0.10681,0.05812,5e-05,0.02142,0.8012,0.06036,0.09855,0.0402,5e-05,0.06053
2e-05,0.01081,0.11352,0.06808,9e-05,0.02432,0.83099,0.06228,0.10211,0.04942,0.00012,0.0655
4e-05,0.01127,0.12071,0.07892,0.00017,0.02738,0.85595,0.06411,0.10527,0.06051,0.00019,0.07107
9e-05,0.01178,0.12726,0.09033,0.00029,0.0308,0.87743,0.06617,0.10829,0.07221,0.00028,0.07663
0.00032,0.01227,0.1335,0.10199,0.00046,0.03427,0.89574,0.06835,0.11131,0.08645,0.00043,0.08238
0.00043,0.01274,0.13923,0.11376,0.00063,0.03821,0.91036,0.0704,0.11444,0.10047,0.00062,0.08851
0.00102,0.01329,0.14495,0.12604,0.00084,0.04276,0.92345,0.07251,0.11758,0.11581,0.00087,0.09461
0.0013,0.01378,0.15074,0.13873,0.00113,0.04688,0.9345,0.07486,0.12091,0.13243,0.00124,0.10085
0.00153,0.01439,0.15654,0.15159,0.00154,0.05158,0.94424,0.07714,0.12444,0.14919,0.00164,0.10745
0.0019,0.01493,0.16286,0.16408,0.00205,0.0568,0.95276,0.07953,0.12804,0.16616,0.00205,0.11442
0.00307,0.01546,0.16872,0.17746,0.00257,0.06274,0.9598,0.0822,0.13176,0.18471,0.00257,0.1215
0.0051,0.01612,0.17567,0.19069,0.00322,0.06889,0.96582,0.08482,0.13574,0.20302,0.00314,0.12887
0.0063,0.01677,0.18208,0.2045,0.004,0.07534,0.9705,0.08745,0.13977,0.22181,0.00384,0.13713
0.00812,0.01744,0.1887,0.21815,0.00486,0.08163,0.97444,0.09012,0.14392,0.24143,0.0046,0.14553
0.01101,0.0181,0.19546,0.23152,0.00568,0.08833,0.97782,0.09264,0.14818,0.25962,0.00527,0.1545
0.0138,0.01887,0.20193,0.24502,0.00661,0.0951,0.9806,0.09526,0.15232,0.27898,0.00602,0.16406
0.01734,0.01978,0.20905,0.25914,0.00768,0.10283,0.98283,0.09817,0.15674,0.29705,0.00679,0.17377
0.02121,0.02055,0.21465,0.27274,0.00878,0.11045,0.98474,0.10088,0.16135,0.31677,0.00765,0.18374
0.02676,0.02145,0.22017,0.28589,0.00992,0.11996,0.98627,0.10363,0.16591,0.33388,0.00849,0.1938
0.03279,0.02243,0.22491,0.29882,0.01113,0.12805,0.98735,0.10633,0.17036,0.35467,0.00933,0.20756
0.03935,0.02339,0.22967,0.31114,0.01226,0.13923,0.98862,0.10917,0.17468,0.37125,0.01026,0.21922
0.04632,0.02445,0.23421,0.32335,0.01348,0.14834,0.9897,0.11193,0.17896,0.38871,0.01117,0.23045
0.05802,0.02551,0.23899,0.33541,0.01474,0.15831,0.99048,0.11468,0.18343,0.40482,0.01203,0.24264
0.0679,0.02671,0.24313,0.34668,0.01615,0.17032,0.99108,0.11758,0.18782,0.42241,0.01292,0.25473
0.07911,0.02781,0.24715,0.35774,0.01748,0.18042,0.99158,0.12037,0.19226,0.43658,0.01457,0.26682
0.09182,0.02891,0.25086,0.36962,0.01872,0.19107,0.99195,0.12315,0.19664,0.44993,0.01549,0.2796
0.10829,0.03002,0.25471,0.38002,0.01993,0.20302,0.99231,0.12599,0.20108,0.46467,0.0164,0.29307
0.13005,0.03131,0.2581,0.3901,0.0213,0.21534,0.99273,0.12877,0.20546,0.47728,0.0172,0.3063
0.14907,0.03263,0.26153,0.40004,0.02245,0.22688,0.9929,0.13169,0.20981,0.49,0.018,0.32
0.17078,0.03412,0.26474,0.40948,0.02365,0.23899,0.99308,0.13452,0.21394,0.50171,0.01892,0.33356
0.19412,0.03562,0.26783,0.41836,0.02489,0.2513,0.9932,0.13748,0.21825,0.51507,0.01979,0.34721
0.21987,0.0372,0.27127,0.42821,0.02617,0.26446,0.99331,0.14043,0.22245,0.52575,0.02064,0.3613
0.24683,0.0389,0.27395,0.43632,0.02745,0.27756,0.99342,0.14346,0.2266,0.53514,0.02152,0.37597
0.27569,0.04059,0.27647,0.44416,0.0288,0.29049,0.99353,0.14649,0.2307,0.54551,0.02247,0.39068
0.30523,0.04233,0.27896,0.4517,0.03009,0.30773,0.99365,0.14946,0.23485,0.55461,0.02331,0.40533
0.33636,0.04417,0.28131,0.45853,0.03141,0.32172,0.99378,0.15257,0.23892,0.56454,0.02417,0.42035
0.3673,0.04616,0.28366,0.46553,0.0328,0.33613,0.99381,0.15563,0.2431,0.57252,0.02514,0.43501
0.39947,0.04817,0.28574,0.47253,0.03411,0.35114,0.99384,0.1588,0.24724,0.58027,0.02603,0.44939
0.43239,0.05041,0.28796,0.47876,0.0354,0.36725,0.99386,0.16194,0.25141,0.58736,0.02682,0.46457
0.46404,0.05269,0.28992,0.4852,0.03679,0.38197,0.99389,0.16517,0.25555,0.59427,0.02775,0.47979
0.495,0.05507,0.29191,0.49201,0.03815,0.39739,0.99391,0.16852,0.2597,0.59988,0.02866,0.49377
0.52612,0.05758,0.29403,0.49746,0.0395,0.41204,0.99395,0.17201,0.26385,0.6051,0.02974,0.50825
0.55374,0.0601,0.29652,0.50288,0.04076,0.42686,0.99396,0.17552,0.26783,0.61011,0.03059,0.52211
0.5814,0.06269,0.29867,0.50803,0.04214,0.44119,0.99396,0.1792,0.27186,0.61435,0.03149,0.53663
0.60428,0.06561,0.30022,0.51362,0.0434,0.45837,0.99398,0.18294,0.27592,0.61886,0.03246,0.55114
0.62927,0.06859,0.30175,0.51838,0.04468,0.47215,0.99398,0.18669,0.28,0.62268,0.03332,0.56507
0.65036,0.07178,0.30323,0.52331,0.04589,0.48607,0.99398,0.1906,0.28433,0.62777,0.0342,0.57884
0.6675,0.07518,0.30466,0.52848,0.04708,0.49923,0.99399,0.19483,0.28862,0.63215,0.03499,0.59485
0.68268,0.07861,0.30587,0.53334,0.0483,0.51275,0.994,0.19888,0.29298,0.63551,0.0358,0.60727
0.69689,0.08228,0.30715,0.53778,0.04954,0.52756,0.994,0.20341,0.29724,0.63893,0.03666,0.62034
0.7099,0.08629,0.30833,0.54209,0.0507,0.54153,0.994,0.20817,0.30134,0.64202,0.03747,0.63374
0.72105,0.09039,0.30962,0.54688,0.0519,0.5592,0.99402,0.21283,0.30557,0.64504,0.03825,0.64657
0.73033,0.09445,0.31075,0.55113,0.0531,0.57189,0.99403,0.21784,0.30989,0.64732,0.03955,0.66002
0.7391,0.09881,0.31183,0.55547,0.05432,0.58476,0.99404,0.223,0.31427,0.65122,0.04038,0.67174
0.74767,0.10328,0.31284,0.56036,0.0556,0.59765,0.99404,0.2285,0.31866,0.65357,0.04121,0.68446
0.75495,0.10814,0.31387,0.56453,0.05683,0.61099,0.99404,0.23438,0.32319,0.65557,0.04198,0.69574
0.76132,0.11323,0.31482,0.5695,0.05799,0.6229,0.99405,0.2404,0.32781,0.65727,0.0428,0.70771
0.76682,0.11861,0.31574,0.57354,0.05917,0.63684,0.99405,0.24681,0.3324,0.65988,0.044,0.71808
0.77166,0.12409,0.31651,0.57697,0.06037,0.64924,0.99405,0.25349,0.337,0.66138,0.04475,0.72927
