qb,t5,gpt2,mistralprompt,phiprompt,phifinetune,context + qb,context + t5,context + gpt2,context + mistralprompt,context + phiprompt,context + phifinetune
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.00085,0.0067,0.0,0.0,0.00709,0.46182,0.02371,0.01423,0.0,0.0,0.05856
0.0,0.00166,0.01845,6e-05,0.0,0.01109,0.50903,0.03139,0.02237,4e-05,0.0,0.08274
0.0,0.00268,0.03079,0.00027,0.0,0.01372,0.57351,0.03792,0.02807,0.00022,0.0,0.09674
0.0,0.00401,0.03971,0.0009,0.0,0.01596,0.64063,0.04461,0.03325,0.00064,0.0,0.10688
0.00011,0.00548,0.04546,0.00204,0.0,0.01818,0.70422,0.05104,0.03828,0.00127,0.0,0.11472
0.00079,0.00689,0.04896,0.00385,0.0,0.02029,0.75882,0.0568,0.04324,0.00235,0.0,0.12135
0.00147,0.00818,0.05157,0.00637,0.0,0.02235,0.80569,0.06188,0.04807,0.00373,0.0,0.12733
0.00298,0.0095,0.05387,0.0098,0.0,0.02438,0.84213,0.06618,0.05293,0.00537,1e-05,0.13267
0.00407,0.01067,0.05651,0.01401,0.0,0.02649,0.87344,0.0695,0.05751,0.00754,6e-05,0.1378
0.00591,0.01171,0.05944,0.01901,0.0,0.02857,0.89748,0.07226,0.06194,0.01005,0.00014,0.14252
0.00759,0.01265,0.06252,0.02474,0.0,0.0308,0.91666,0.07467,0.06605,0.013,0.0002,0.14694
0.01017,0.01348,0.06614,0.03118,1e-05,0.03306,0.9315,0.07686,0.06989,0.01629,0.00023,0.15137
0.01308,0.01428,0.0703,0.03855,2e-05,0.0356,0.94326,0.07893,0.0733,0.02042,0.00029,0.15569
0.01639,0.01509,0.075,0.04648,4e-05,0.03841,0.95229,0.08092,0.07653,0.02457,0.00034,0.16027
0.02106,0.01598,0.07956,0.05496,8e-05,0.04125,0.95939,0.0828,0.0794,0.02938,0.00043,0.16489
0.02616,0.01685,0.08433,0.06385,0.00011,0.04436,0.96458,0.08466,0.08226,0.03468,0.00055,0.16932
0.03066,0.01769,0.08939,0.07332,0.00017,0.04769,0.96846,0.08669,0.08492,0.04055,0.0007,0.17398
0.03574,0.01858,0.09398,0.08348,0.00028,0.05112,0.97179,0.08867,0.08757,0.04689,0.00093,0.17868
0.04223,0.01958,0.09856,0.09387,0.00046,0.05481,0.97398,0.09075,0.09006,0.05367,0.00118,0.18305
0.04954,0.02053,0.10312,0.10467,0.00065,0.05881,0.97575,0.09268,0.09255,0.061,0.0015,0.18758
0.05877,0.02155,0.1078,0.11562,0.00087,0.06324,0.97737,0.09468,0.09496,0.06889,0.00188,0.19301
0.06755,0.02255,0.11267,0.12718,0.00111,0.06789,0.97827,0.09669,0.09761,0.077,0.00223,0.19816
0.07728,0.02372,0.1177,0.13861,0.0014,0.07339,0.97903,0.09874,0.10005,0.08578,0.00268,0.20336
0.0883,0.02493,0.12283,0.15033,0.00181,0.07897,0.97967,0.10089,0.10264,0.0948,0.00321,0.20874
0.10161,0.02612,0.12784,0.16209,0.00227,0.08451,0.98022,0.10296,0.10526,0.10432,0.00381,0.21407
0.11465,0.02746,0.13245,0.17374,0.00279,0.09072,0.98059,0.10489,0.10797,0.11419,0.00453,0.22004
0.12915,0.02883,0.13703,0.18552,0.00337,0.09742,0.98092,0.10702,0.11059,0.12392,0.00543,0.22602
0.14455,0.03013,0.14132,0.19746,0.00401,0.10383,0.98107,0.10907,0.11324,0.13389,0.00616,0.23202
0.15928,0.03162,0.14576,0.20929,0.00465,0.11078,0.98126,0.1112,0.11601,0.14386,0.00681,0.23865
0.17649,0.03318,0.14964,0.22076,0.00533,0.11818,0.98143,0.11329,0.11883,0.15431,0.00757,0.24523
0.19546,0.0346,0.1535,0.23225,0.00623,0.12568,0.98151,0.11548,0.12187,0.1647,0.00834,0.25183
0.21532,0.03621,0.15731,0.2434,0.00697,0.13323,0.98158,0.11762,0.12478,0.17485,0.00948,0.25863
0.23673,0.03797,0.16096,0.25415,0.00777,0.14094,0.98162,0.1198,0.12771,0.18478,0.01027,0.26603
0.26102,0.0396,0.16452,0.26467,0.00862,0.1491,0.98166,0.12203,0.13083,0.19541,0.01096,0.27315
0.28381,0.04133,0.16797,0.2754,0.00958,0.15782,0.98169,0.1242,0.13383,0.20535,0.01172,0.28038
0.30899,0.04314,0.17145,0.28531,0.01064,0.16668,0.9817,0.12638,0.13693,0.21514,0.01244,0.28822
0.33458,0.04517,0.17482,0.29506,0.0117,0.17564,0.98176,0.12871,0.14018,0.22524,0.01324,0.29555
0.36309,0.0472,0.17781,0.30444,0.01281,0.18505,0.98179,0.13109,0.14342,0.23463,0.01404,0.30321
0.39213,0.04951,0.18057,0.3138,0.01393,0.19494,0.98179,0.13341,0.14661,0.24349,0.01481,0.31159
0.42314,0.05183,0.18329,0.32276,0.01504,0.20505,0.98179,0.13581,0.14989,0.25322,0.01554,0.31944
0.45292,0.05405,0.18594,0.3311,0.01616,0.21486,0.98179,0.13814,0.15316,0.26271,0.01626,0.32765
0.48276,0.05653,0.18854,0.33918,0.01733,0.22515,0.9818,0.14047,0.15641,0.27129,0.01703,0.33639
0.5131,0.05921,0.19125,0.34731,0.01854,0.23486,0.9818,0.14284,0.16004,0.27955,0.01779,0.34512
0.5408,0.06193,0.19359,0.35571,0.01974,0.24576,0.98181,0.1453,0.16367,0.2878,0.01853,0.35353
0.56675,0.06469,0.19592,0.36312,0.021,0.25676,0.98181,0.14774,0.16716,0.29539,0.01929,0.36243
0.59404,0.06753,0.19816,0.36994,0.02229,0.2681,0.98181,0.15018,0.17083,0.30348,0.02007,0.37109
0.61627,0.07046,0.20023,0.37673,0.02365,0.2791,0.98181,0.15271,0.17453,0.31093,0.02072,0.38044
0.636,0.0736,0.20228,0.38309,0.025,0.29127,0.98181,0.1555,0.17829,0.31988,0.02142,0.38975
